用例编号,模块,子模块,用例标题,前置条件,操作步骤,预期结果,优先级,用例设计方法,状态
ZW-EMS-M04-0011,报名缴费,新建报名-组合支付,微信支付1000+余额支付800组合,1.学员账户有余额1000 本次应付1800,1.选择组合支付 微信=1000 余额=800 2.提交,1.两边同时扣款成功 2.订单支付成功 3.余额-800,P0,组合场景,已通过
ZW-EMS-M04-0012,报名缴费,新建报名-组合支付,组合支付一边成功一边失败回滚,1.构造余额扣款成功但微信模拟失败,1.提交支付,1.数据库事务回滚：余额+800回退 订单=待支付,P0,分布式事务,已通过
ZW-EMS-M04-0013,报名缴费,新建报名-并发,同一订单两人同时支付？并发防超卖优惠名额,1.剩余优惠名额1个 2个浏览器同时提交,1.两个销售同时点支付,1.仅1个成功 另1个提示：优惠名额已用完,P0,并发,已失败-已修复
ZW-EMS-M04-0014,报名缴费,新建报名-订单号,订单号规则=ZW+日期+6位流水,1.生成新订单,1.对比订单号,1.格式正确 2.同一毫秒多笔流水递增不重复,P1,规则校验,已通过
ZW-EMS-M04-0015,报名缴费,退费,正常退费-消耗5课时-退剩余款,1.订单：20课时2000元 已消耗5 无赠送,1.点击退费 选择原因=搬家 2.确认,1.退费金额=15×100=1500元 2.订单=已退费 3.课时-15 4.财务应收-1500 生成退款单,P0,场景法,已通过
ZW-EMS-M04-0016,报名缴费,退费,退费比例-七天无理由全退 超过七天按80%,1.配置：7天内全退 7天外80%,1.8天后退费,1.按剩余×80%退款 2.明细显示扣除说明,P1,判定表,已失败-已修复
ZW-EMS-M04-0017,报名缴费,退费,退费审核-需要财务和校长双审,1.配置双审流程,1.提交退费 2.财务通过 3.校长通过,1.财务通过后状态=校长待审 校长通过后才到账,P1,工作流,已通过
ZW-EMS-M04-0018,报名缴费,退费,退费退回原支付渠道-微信到微信-余额到余额,1.组合支付订单1000微信+800余额,1.全退,1.原路退回：微信回1000 余额回800 2.有两笔退款记录,P0,资金一致性,已通过
ZW-EMS-M04-0019,报名缴费,退费,退费时优惠券不退-仅退现金,1.订单用了满减+券,1.退费,1.只退实付现金部分 券不退 满减不退,P1,规则,已通过
ZW-EMS-M04-0020,报名缴费,转课,数学班课→英语一对一-补差价,1.数学剩15节×100=1500 英语200每节 转10节需2000,1.申请转课 2.补差价500,1.数学课时-15 英语课时+10 2.补交500成功 3.生成转课单,P0,场景法,已通过
ZW-EMS-M04-0021,报名缴费,转课,英语→数学 差价退回学员余额,1.英语10节×200=2000 转数学15节×100=1500,1.转课,1.退差价500到学员账户余额,P1,场景法,已通过
ZW-EMS-M04-0022,报名缴费,转课,转课不能跨校区转（未开通跨区）,1.东葛学员A 想转琅东的课程,1.选择琅东校区课程,1.提示："暂不支持跨校区转课",P0,规则,已通过
ZW-EMS-M04-0023,报名缴费,续费,续费提醒-剩余≤5课时提醒,1.学员A剩余5节,1.消耗1节到剩4节,1.家长+销售收到续费提醒 2.后台续费榜出现,P2,策略,已通过
ZW-EMS-M04-0024,报名缴费,续费,续费优惠-95折,1.配置：老学员续费95折,1.续费20课时2000,1.实付1900 2.订单显示续费优惠,P1,业务规则,已通过
ZW-EMS-M04-0025,报名缴费,支付渠道,微信支付沙箱回调-金额错误验签不通过,1.篡改回调金额,1.模拟回调,1.订单不更新为成功 记录异常日志,P0,安全-支付验签,已通过
ZW-EMS-M04-0026,报名缴费,支付渠道,支付宝支付同样流程验证,1.选择支付宝,1.支付,1.成功 回调正常,P1,场景法,已通过
ZW-EMS-M04-0027,报名缴费,支付渠道,POS刷卡-线下收款登记,1.线下刷卡,1.收银员登记POS凭证,1.状态=已缴费（人工确认） 需上传凭证照片 财务可审核,P1,场景法,已通过
ZW-EMS-M04-0028,报名缴费,支付渠道,现金支付-双人登记+打印收据,1.现金,1.登记 2.打印,1.需要收银员+财务双签 打印现金收据,P0,合规,已通过
ZW-EMS-M04-0029,报名缴费,支付渠道,超时未支付-15分钟自动关单释放库存/优惠,1.订单创建15分钟未支付,1.等定时任务,1.订单自动关闭 优惠名额释放 优惠券返回,P1,状态机,已通过
ZW-EMS-M04-0030,报名缴费,支付渠道,关单后重复收到支付回调-幂等性,1.订单已关闭 模拟微信仍回调成功,1.回调,1.订单仍关闭 不更新为成功 回调返回成功但内部记录幂等处理,P0,幂等,已通过
ZW-EMS-M04-0031,报名缴费,收据/发票,电子收据生成-PDF正确,1.订单已缴费,1.下载收据,1.收据抬头 金额 印章 二维码正确 可扫码验真,P1,PDF校验,已通过
ZW-EMS-M04-0032,报名缴费,收据/发票,发票申请-专票/普票信息,1.申请开票,1.填开票信息,1.发票号生成 电子发票邮件发送成功,P1,功能,已通过
ZW-EMS-M04-0033,报名缴费,收据/发票,发票金额=实付金额不包含优惠部分,1.2000-200=1800订单,1.申请开票,1.最大可开票额=1800,P0,合规,已通过
ZW-EMS-M04-0034,报名缴费,收据/发票,发票重复申请拦截,1.已开票订单,1.再次申请,1.提示已开过 可重发邮件,P1,合规,已通过
ZW-EMS-M04-0035,报名缴费,财务对账,日报表-当天缴费-支付渠道汇总,1.当天微信10笔=18000 支付宝5=9000 余额3=2400,1.查看日报,1.微信18000 支付宝9000 余额2400 总计29400 2.与流水表count sum一致,P0,数据校验SQL,已通过
ZW-EMS-M04-0036,报名缴费,财务对账,收费-退费冲抵后净额正确,1.当天收10万 退费2万,1.日终结账,1.当日净收入=8万 2.和财务系统一致,P0,数据校验,已失败-已修复
ZW-EMS-M04-0037,报名缴费,权限,财务角色才能看金额 招生老师只能看是否已缴,1.sales01看列表,1.查看订单金额字段,1.显示*** 财务角色可见,P0,权限脱敏,已通过
ZW-EMS-M04-0038,报名缴费,权限,退费需财务权限 普通销售仅能申请,1.sales01操作,1.看退费确认按钮,1.只有申请按钮 不可直接确认退费,P0,权限,已通过
ZW-EMS-M04-0039,报名缴费,订单列表,订单号搜索精确,1.订单号存在,1.搜索,1.只显示1条,P0,场景法,已通过
ZW-EMS-M04-0040,报名缴费,订单列表,多条件：状态+校区+时间+课程,1.,1.4个条件组合查询,1.结果全部满足条件,P1,正交实验,已通过
ZW-EMS-M04-0041,报名缴费,订单详情,订单操作日志-状态变更完整,1.待支付→已支付→已部分退费→已全额退费,1.详情查看日志,1.4个状态变更记录 每个有操作人时间IP,P1,审计,已通过
ZW-EMS-M04-0042,报名缴费,订单详情,订单详情-关联课时消耗记录可跳转,1.订单有课时消耗,1.点击关联,1.跳转到考勤详情页对应记录,P1,关联跳转,已通过
ZW-EMS-M04-0043,报名缴费,订单详情,补打收据+防重复标记,1.收据已经打印过,1.点击补打,1.打印版显示【补打第X次】字样,P2,合规,已通过
ZW-EMS-M04-0044,报名缴费,新建报名,无权限用户不能创建订单,1.访客模式,1.直接POST接口,1.401或403,P0,越权,已通过
ZW-EMS-M04-0045,报名缴费,新建报名,课时数=0不允许提交,1.,1.课时=0,1.提示课时必须≥1,P1,边界值,已通过
ZW-EMS-M04-0046,报名缴费,新建报名,课时数=9999超大值,1.课程允许单次最大=200,1.课时=9999,1.提示单次购买课时上限200,P1,边界值,已通过
ZW-EMS-M04-0047,报名缴费,新建报名,课程已下架不允许报名,1.课程状态=下架,1.选课程,1.该课程不可选 或提交时报错,P0,业务约束,已通过
ZW-EMS-M04-0048,报名缴费,新建报名,课程容量满-允许排队模式,1.班课30人已30 配置允许排队,1.继续报名,1.状态=排队中 不扣费 有空位自动通知,P1,场景法,已通过
ZW-EMS-M04-0049,报名缴费,新建报名,课程班级冲突-同一时间不能同时报两个班,1.学员已在数学周六10点班 再报英语同时间,1.提交,1.提示："该时段已有课程，请选择其他时段",P0,判定表-冲突,已失败-已修复
ZW-EMS-M04-0050,报名缴费,新建报名,教师满课时限制-老师周课时已达40,1.配置老师周上限40h 已达40,1.给该老师排班报名,1.提示教师已满 不可新增,P1,业务约束,已通过
ZW-EMS-M04-0051,报名缴费,新建报名,报名金额字段不允许负数,1.前端篡改price为-100,1.提交,1.后端校验拦截 不允许,P0,安全,已通过
ZW-EMS-M04-0052,报名缴费,新建报名,报名金额精度-分位四舍五入,1.计算后1800.335,1.提交,1.后端按财务舍入规则 金额为1800.34（或按配置）,P1,数据精度,已通过
ZW-EMS-M04-0053,报名缴费,新建报名,报名成功后同步到教育局接口-失败重试3次,1.教育局沙箱模拟失败2次成功第3次,1.报名,1.日志显示重试3次最终成功 状态=已上报 2.失败超过3次则 标记=待人工重试+告警,P1,重试机制,已通过
ZW-EMS-M04-0054,报名缴费,新建报名,报名成功消息-模板消息内容变量正确,1.家长有微信openid,1.成功后,1.收到消息：学员 课程 课时 金额 日期 校区 都正确 无null,P2,消息,已通过
ZW-EMS-M04-0055,报名缴费,退费,部分退费-第二次只能退剩余,1.20节-先退5,1.再申请退费,1.可退费最大=15 无法申请20,P0,业务约束,已通过
ZW-EMS-M04-0056,报名缴费,退费,退费银行账户-只允许退回原账户,1.原支付微信,1.申请退到银行卡,1.提示：原路退回 不可指定其他,P0,合规,已通过
ZW-EMS-M04-0057,报名缴费,退费,校长拒绝退费-需填写原因,1.校长操作拒绝,1.不填原因点确定,1.必须填写拒绝原因 不可空,P1,工作流,已通过
ZW-EMS-M04-0058,报名缴费,转课,转课后 原来老师课酬自动结转新老师,1.数学老师A 50元/节 英语老师B 60/节,1.转课成功后次月报表,1.老师A的课酬减少对应部分 老师B增加 总和正确,P1,财务联动,已通过
ZW-EMS-M04-0059,报名缴费,转课,转课不能转已经消耗的课时,1.20节已消耗3节,1.申请转全部20,1.可转17节 3节不能转 或提示,P0,约束,已通过
ZW-EMS-M04-0060,报名缴费,转课,转课原订单生成关联转课单号 可追溯,1.转课成功,1.查原订单详情,1.显示"已转课"并跳转转课单,P1,可追溯,已通过
ZW-EMS-M04-0061,报名缴费,续费,续费3次以上额外送1节,1.配置≥3次续送1,1.第三次续费,1.课时+1额外赠送,P1,规则,已通过
ZW-EMS-M04-0062,报名缴费,续费,续费历史可查 每年同比/环比,1.看学员续费时间线,1.展示,1.柱状图+列表展示,P3,BI,已通过
ZW-EMS-M04-0063,报名缴费,支付,支付后 第三方回调URL篡改攻击,1.改回调return_url,1.回调,1.验签失败 不处理 记录告警,P0,安全,已通过
ZW-EMS-M04-0064,报名缴费,支付,重复通知3次-业务幂等,1.微信重复回调3次同id,1.处理,1.3次都返回success 订单只更新1次,P0,幂等,已通过
ZW-EMS-M04-0065,报名缴费,发票,发票金额含税与不含税分离正确,1.1800含税税率6%,1.开票,1.不含税=1698.11 税额=101.89 总额=1800 正确,P1,财务,已通过
ZW-EMS-M04-0066,报名缴费,发票,发票抬头必须与纳税人识别号匹配,1.抬头A 税号B(不匹配),1.提交,1.调用税务局校验接口 不匹配拒绝,P0,合规,已通过
ZW-EMS-M04-0067,报名缴费,收据,批量打印收据-选中10个订单,1.选中10,1.批量打印,1.生成合并PDF 10份 每份独立,P2,效率,已通过
ZW-EMS-M04-0068,报名缴费,财务,月底结账-关账后不可再退费到上月,1.6月已关账 今天7月3日,1.尝试将6月订单算作6月退费,1.退费记账到7月 不能修改6月已结账单,P0,财务关账,已通过
ZW-EMS-M04-0069,报名缴费,财务,反结账-需要总监权限,1.普通财务,1.点击反结账,1.看不到按钮或提示需总监,P0,权限,已通过
ZW-EMS-M04-0070,报名缴费,财务,现金流报表-支付渠道维度正确,1.3天支付流水,1.导出报表,1.现金/银行/微信/支付宝/余额 每个合计正确,P1,校验,已通过
ZW-EMS-M04-0071,报名缴费,订单列表,订单分页,1.500订单,1.翻页,1.每页20条正确,P0,分页,已通过
ZW-EMS-M04-0072,报名缴费,订单列表,排序-按金额从大到小,1.有各种金额订单,1.点实付金额列排序,1.从大到小 正确,P1,体验,已通过
ZW-EMS-M04-0073,报名缴费,订单列表,按创建时间范围查询,1.选6月1-6月30,1.搜索,1.结果都在范围内,P1,范围,已通过
ZW-EMS-M04-0074,报名缴费,订单详情,详情页复制订单号按钮,1.订单号旁复制按钮,1.点击,1.Clipboard有正确订单号 提示复制成功,P2,体验,已通过
ZW-EMS-M04-0075,报名缴费,新建报名,班主任可在小程序中代学员家长报名,1.班主任登录小程序,1.找到学员发起代报名,1.可操作 家长端同步可确认,P1,场景法,已通过
ZW-EMS-M04-0076,报名缴费,新建报名,家长在小程序自助报名-微信快捷登录,1.小程序,1.选择课程→报名→支付,1.成功 有订单,P1,场景法,已通过
ZW-EMS-M04-0077,报名缴费,新建报名,试学班-1元体验2节-报名入口,1.配置试学,1.报名1元,1.到账 课时2节 到期自动失效标记,P1,营销,已通过
ZW-EMS-M04-0078,报名缴费,新建报名,0元免费试听-订单状态=免费,1.,1.报名,1.生成0元订单 状态=已完成,P1,营销,已通过
ZW-EMS-M04-0079,报名缴费,新建报名,多学员批量报名-同一个家长2个孩子,1.家长名下2学员,1.为2人同时报名,1.生成2个订单 可合并支付 一次扣款,P1,体验,已通过
ZW-EMS-M04-0080,报名缴费,新建报名,合并支付-订单A + 订单B 合开一个收据,1.同一时间两笔,1.支付后合并开票,1.可选合并/分开开票,P2,体验,已通过
ZW-EMS-M04-0081,报名缴费,新建报名,金额显示-千分位+货币符号¥,1.金额18000,1.列表/详情查看,1.显示¥18,000.00,P2,UI,已通过
ZW-EMS-M04-0082,报名缴费,新建报名,优惠到期倒计时显示,1.优惠活动剩余3小时,1.报名页,1.显示倒计时：优惠结束 02:59:59,P2,营销体验,已通过
ZW-EMS-M04-0083,报名缴费,新建报名,优惠倒计时结束 页面不刷新仍点了提交,1.最后一秒,1.到点后立即提交,1.后端判断活动已结束 不享受优惠 提示用户,P0,一致性,已通过
ZW-EMS-M04-0084,报名缴费,支付,支付成功后回跳URL带参数无法伪造状态,1.手动拼url?status=success,1.直接访问,1.后端重新查询真实订单状态 不依赖URL参数,P0,安全,已通过
ZW-EMS-M04-0085,报名缴费,支付,弱网下支付-提交后转圈 网络恢复,1.弱网Slow3G,1.提交支付,1.网络恢复后自动拉取订单状态 避免重复支付,P1,体验,已通过
ZW-EMS-M04-0086,报名缴费,退费,退费时产生红字冲销凭证,1.财务启用凭证,1.退费完成,1.自动生成红字凭证 与原蓝字对应,P1,财务,已通过
ZW-EMS-M04-0087,报名缴费,退费,退费失败（银行卡异常）-自动重试+通知,1.模拟银行返回失败,1.定时任务,1.3次重试后 通知财务手工处理,P2,可靠性,已通过
ZW-EMS-M04-0088,报名缴费,转课,转课有效期限制-购课后90天内可转,1.配置90天规则 购课已100天,1.申请转课,1.提示超过转课期限,P1,规则,已通过
ZW-EMS-M04-0089,报名缴费,转课,转课一次后不允许二次转课,1.已经转过1次,1.再申请,1.一个订单仅限转课1次 提示,P1,规则,已通过
ZW-EMS-M04-0090,报名缴费,续费,续费成功后-推荐人有佣金,1.存在推荐人,1.续费成功,1.推荐人佣金=续费金额×配置比例,P1,规则,已通过
ZW-EMS-M04-0091,报名缴费,续费,续费订单中显示 原订单号 方便追溯,1.续费,1.查看详情,1.关联原订单号 点击可跳转,P1,追溯,已通过
ZW-EMS-M04-0092,报名缴费,权限,普通销售 不可修改已缴费订单金额,1.已支付订单,1.查看编辑按钮,1.不可编辑金额 只可编辑备注,P0,权限,已通过
ZW-EMS-M04-0093,报名缴费,订单,红冲订单不能编辑删除,1.已红冲,1.尝试删除,1.禁止操作,P0,合规,已通过
ZW-EMS-M04-0094,报名缴费,订单,订单导出,1.6月订单500条,1.导出,1.字段齐全 中文正确 500条,P2,导出,已通过
ZW-EMS-M04-0095,报名缴费,订单,订单导入-历史迁移,1.老系统5000订单,1.后台迁移导入,1.全部导入 迁移校验日志完整,P2,迁移,已通过
ZW-EMS-M04-0096,报名缴费,新建报名,跨校区优惠不共享（东葛的券不能在琅东用）,1.东葛券,1.在琅东校区报名,1.看不到东葛券 即使选择也校验不过,P0,数据隔离,已失败-已修复
ZW-EMS-M04-0097,报名缴费,新建报名,课程可报名时间范围-未到开始日不可报,1.报名开始日=7月1 今天6月20,1.尝试报名,1.按钮置灰 提示："报名未开始",P1,时间范围,已通过
ZW-EMS-M04-0098,报名缴费,新建报名,报名结束日已过不可报,1.报名结束=6月10 今天6月20,1.尝试,1.提示已结束,P1,时间范围,已通过
ZW-EMS-M04-0099,报名缴费,新建报名,新学员首单优惠-新老学员判定=有无历史缴费,1.学员A从未缴费,1.首单,1.自动应用首单9折 2.老学员不出现,P1,判定表,已通过
ZW-EMS-M04-0100,报名缴费,新建报名,首单+续费+满减叠加顺序明确 产品规定先首单再满减,1.新学员 2000元 首单9折 满2000-200,1.计算,1.2000×0.9=1800，不满2000不触发满减 → 最终1800,P0,计算顺序,已失败-已修复
ZW-EMS-M04-0101,报名缴费,新建报名,优惠互斥配置-首单和续费券互斥,1.配置互斥,1.同时选择,1.只能选一个 另一个自动取消,P1,规则,已通过
ZB-EMS-M04-0102,报名缴费,新建报名,选择学员时只能查看到自己权限范围内的,1.东葛销售,1.选择学员,1.只列出东葛+自己跟进学员,P0,权限,已通过
ZW-EMS-M04-0103,报名缴费,新建报名,价格实时计算-前端与后端都算,1.前端算完被篡改,1.改price参数提交,1以后端计算为准 返回正确订单,P0,安全,已通过
ZW-EMS-M04-0104,报名缴费,新建报名,满减门槛 四舍五入是否算入,1.2件商品 1000.3+999.3=1999.6 四舍五入2000,1.按产品规则,1.按实际小数还是四舍五入 后端明确实现且与前端一致,P1,精度,已通过
ZW-EMS-M04-0105,报名缴费,支付,余额不足-自动跳转组合支付或充值,1.余额只有500 需1800,1.选余额支付,1.提示余额不足 显示充值入口 + 可切组合支付,P2,体验,已通过
ZW-EMS-M04-0106,报名缴费,支付,充值后原路返回报名页继续支付,1.中途去充值,1.充值成功返回,1.原填信息还在 无需重填,P2,体验,已通过
ZW-EMS-M04-0107,报名缴费,支付,未支付订单-支付中重复点按钮,1.点击立即支付,1.快速连点3次,1.只发起1次请求 按钮loading,P0,防抖,已通过
ZW-EMS-M04-0108,报名缴费,发票,开票超30天需申请-默认开票期30天,1.订单超过30天,1.申请开票,1.显示"超期开票"流程 说明审核,P1,合规,已通过
ZW-EMS-M04-0109,报名缴费,发票,发票红冲,1.需要红冲,1.财务操作红冲,1.原发票负数冲销 可重开,P1,合规,已通过
ZW-EMS-M04-0110,报名缴费,收据,收据编号 与订单号 映射且唯一,1.,1.打印两张收据,1.收据号不重复 可追溯订单,P0,合规,已通过
ZW-EMS-M04-0111,报名缴费,退费,退费原因枚举+自定义,1.,1.选择原因：搬家/教学质量/价格/其他（可填）,1.全部可保存 报表可统计,P1,体验,已通过
ZW-EMS-M04-0112,报名缴费,退费,退费影响销售佣金,1.销售本月有佣金500 退费扣回200,1.月末佣金报表,1.本月实发=300 明细列示退费扣回,P0,财务,已通过
ZW-EMS-M04-0113,报名缴费,转课,转课学员与原学员信息一致,1.学员A转课,1.查看新订单,1.关联学员ID相同 姓名相同,P1,一致性,已通过
ZW-EMS-M04-0114,报名缴费,新建报名,黑名单学员禁止报名,1.学员A在黑名单,1.尝试,1.提示："该学员在黑名单，请先联系管理员解除",P0,规则,已通过
ZW-EMS-M04-0115,报名缴费,新建报名,冻结中的课程-不可报名但老学员可续费,1.课程状态=冻结,1.新学员报名 vs 老学员续费,1.新学员禁止 老学员可以续费,P1,判定表,已通过
ZW-EMS-M04-0116,报名缴费,新建报名,班级人数控制-超员时-允许加入等待队列,1.满员 1等待,1.报名,1.加入等待队列+发送通知,P1,场景,已通过
ZW-EMS-M04-0117,报名缴费,新建报名,等待队列-有人退费，自动按顺序通知第一位,1.队列有3人 有人退费,1.触发,1.第1个收到通知 24h未确认则给下一个,P1,排队机制,已通过
ZW-EMS-M04-0118,报名缴费,新建报名,团购活动-3人团每人9折,1.配置团购,1.学员A开团 分享 学员B加入 学员C加入,1.3人成团 每人都按9折 状态=成功 未达3人则到期自动取消,P1,营销,已通过
ZW-EMS-M04-0119,报名缴费,团购,拼团中关闭支付,1.开团未支付,1.关单,1.拼团依然存在 成员还是待支付状态,P2,细节,已通过
ZW-EMS-M04-0120,报名缴费,新建报名,订单创建后未支付-30分钟未支付 提醒销售跟进,1.订单待支付30分钟,1.查看销售待办,1.出现"待跟进支付"提醒,P2,自动化,已通过
ZW-EMS-M04-0121,报名缴费,支付,支付成功后-财务待办出现待审核收据,1.配置需审核,1.支付成功,1.财务待办列表新增,P2,工作流,已通过
ZW-EMS-M04-0122,报名缴费,财务,按销售维度业绩统计,1.销售01本月报名10笔,1.业绩榜,1.销售01业绩正确 与订单关联销售一致,P1,聚合SQL,已通过
ZW-EMS-M04-0123,报名缴费,财务,按校区维度业绩,1.两校区订单,1.切换校区查看,1.每个校区数据只包含自己 不交叉,P1,数据权限,已通过
ZW-EMS-M04-0124,报名缴费,财务,课消营收确认-按权责发生制,1.收了20节费用 消耗了5节,1.月末报表,1.确认收入=5节，预收=15节，正确,P0,财务合规,已失败-已修复
ZW-EMS-M04-0125,报名缴费,财务,现金流量表匹配银行流水,1.当天流水,1.核对银行对账,1.每笔支付有交易号 与银行返回一致,P1,对账,已通过
ZW-EMS-M04-0126,报名缴费,财务,退款单号以TK开头 不与订单号混淆,1.生成退款,1.查看单号,1.TK开头,P1,规范,已通过
ZW-EMS-M04-0127,报名缴费,财务,跨月退款-报表归属退款发生月,1.5月订单 6月退款,1.查看5月报表 6月报表,1.5月仍是正数 6月有负数（退款）,P0,合规,已通过
ZW-EMS-M04-0128,报名缴费,异常,订单创建成功但支付记录缺失-自动对账任务发现,1.构造：订单已支付状态 但流水表无记录,1.对账任务 每日02:00执行,1.任务检测出差异 生成差异报告 发邮件告警,P0,可靠性,已通过
ZW-EMS-M04-0129,报名缴费,异常,支付记录有 订单状态=待支付-不一致,1.构造流水成功 订单状态错,1.对账任务,1.自动修正订单状态或生成异常工单,P0,可靠性,已通过
ZW-EMS-M04-0130,报名缴费,权限,接口级越权：A校区老师操作B校区订单,1.A校区token,1.修改请求orderId=B校区订单,1.返回403 操作失败,P0,越权,已通过
ZW-EMS-M04-0131,报名缴费,SQL,金额计算 SQL 精度,1.多订单 sum(amount),1.数据库执行,1.与Excel求和精度一致 无浮点差,P1,精度,已通过
ZW-EMS-M04-0132,报名缴费,UI,移动端报名页 数字键盘弹出,1.小程序输入金额,1.获取焦点,1.弹出数字键盘不是全键盘,P2,移动体验,已通过
